model,class,precision,recall,f1_score,support
Naive Bayes,overall_accuracy,0.8769953051643192,0.8769953051643192,0.8769953051643192,6390.0
Naive Bayes,spam,0.5962145110410094,0.8325991189427313,0.6948529411764706,227.0
Naive Bayes,phishing,0.9823113207547168,0.8456852791878172,0.9088925259138024,985.0
Naive Bayes,personal,0.5,0.0684931506849315,0.1204819277108433,73.0
Naive Bayes,work,0.8806282722513089,0.9952662721893492,0.9344444444444444,845.0
Naive Bayes,macro avg,0.7397885260117588,0.6855109552512073,0.6646679598113903,2130.0
Naive Bayes,weighted avg,0.8842949460103573,0.8769953051643192,0.8691978835448833,2130.0
Logistic Regression,overall_accuracy,0.8154929577464789,0.8154929577464789,0.8154929577464789,6390.0
Logistic Regression,spam,0.5245901639344263,0.8458149779735683,0.6475548060708263,227.0
Logistic Regression,phishing,0.957471264367816,0.8456852791878172,0.8981132075471698,985.0
Logistic Regression,personal,0.2073170731707317,0.4657534246575342,0.2869198312236287,73.0
Logistic Regression,work,0.9287671232876712,0.8023668639053254,0.8609523809523809,845.0
Logistic Regression,macro avg,0.6545364061901613,0.7399051364310614,0.6733850564485014,2130.0
Logistic Regression,weighted avg,0.8742410930211076,0.8154929577464789,0.8357212957728293,2130.0
Linear SVM,overall_accuracy,0.8422535211267606,0.8422535211267606,0.8422535211267606,6390.0
Linear SVM,spam,0.825,0.145374449339207,0.247191011235955,227.0
Linear SVM,phishing,0.8717228464419475,0.9451776649746192,0.9069654164637116,985.0
Linear SVM,personal,0.0,0.0,0.0,73.0
Linear SVM,work,0.812133072407045,0.9822485207100592,0.8891269416175683,845.0
Linear SVM,macro avg,0.6272139797122481,0.5182001587559714,0.5108208423293088,2130.0
Linear SVM,weighted avg,0.813227441281348,0.8422535211267606,0.798490873443269,2130.0
Random Forest,overall_accuracy,0.9070422535211268,0.9070422535211268,0.9070422535211268,6390.0
Random Forest,spam,0.8409090909090909,0.6519823788546255,0.7344913151364765,227.0
Random Forest,phishing,0.9402390438247012,0.9583756345177664,0.9492207139265962,985.0
Random Forest,personal,0.6,0.0410958904109589,0.0769230769230769,73.0
Random Forest,work,0.8857142857142857,0.9905325443786982,0.9351955307262568,845.0
Random Forest,macro avg,0.8167156051120195,0.6604966120405122,0.6739576591781016,2130.0
Random Forest,weighted avg,0.896361686963505,0.9070422535211268,0.8908767792642014,2130.0
Neural Network (MLP),overall_accuracy,0.8647887323943662,0.8647887323943662,0.8647887323943662,6390.0
Neural Network (MLP),spam,0.7786885245901639,0.4185022026431718,0.5444126074498568,227.0
Neural Network (MLP),phishing,0.8717228464419475,0.9451776649746193,0.9069654164637116,985.0
Neural Network (MLP),personal,0.0,0.0,0.0,73.0
Neural Network (MLP),work,0.8690095846645367,0.9656804733727811,0.9147982062780269,845.0
Neural Network (MLP),macro avg,0.6298552389241621,0.582340085247643,0.5915440575478988,2130.0
Neural Network (MLP),weighted avg,0.8308555858539056,0.8647887323943662,0.8403507424473269,2130.0
